spot_id,B-cells,CAFs,Cancer Epithelial,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
mix_0000_depth100,0.0,0.0,0.6101579333520177,0.09008931491479634,0.0,0.010476095794572074,0.0,0.0,0.28927665593861374,0.0,0.0,0.0,0.0
mix_0000_depth25,0.0,0.0,0.6048899157325502,0.1344540774519674,0.0,0.020824037581990296,0.0,0.0,0.23983196923349206,0.0,0.0,0.0,0.0
mix_0001_depth100,0.0,0.0,0.46375615868775566,0.0,0.0,0.0,0.0,0.0,0.5362438413122443,0.0,0.0,0.0,0.0
mix_0001_depth25,0.0,0.0,0.49358693779701734,0.0,0.0,0.0,0.0,0.0,0.5064130622029827,0.0,0.0,0.0,0.0
mix_0002_depth100,0.0,0.0,0.604706232658402,0.12101123584962478,0.0,0.016322508614642593,0.0,0.0,0.2579600228773307,0.0,0.0,0.0,0.0
mix_0002_depth25,0.0,0.0,0.6219489895798808,0.08560816441468969,0.0,0.024322981120131846,0.0,0.0,0.2681198648852977,0.0,0.0,0.0,0.0
mix_0003_depth100,0.0,0.0,0.2226646861078229,0.26540017530510646,0.0,0.10273493235130218,0.0,0.0,0.4092002062357685,0.0,0.0,0.0,0.0
mix_0003_depth25,0.0,0.0,0.22408884731572995,0.27616903457041564,0.0,0.10202952252492077,0.0,0.0,0.39771259558893357,0.0,0.0,0.0,0.0
mix_0004_depth100,0.0,0.0,0.3116216349413395,0.0,0.0,0.09655952967983109,0.0,0.0,0.5918188353788294,0.0,0.0,0.0,0.0
mix_0004_depth25,0.0,0.0,0.28503038215385906,0.0,0.0,0.10277551002749795,0.0,0.0,0.612194107818643,0.0,0.0,0.0,0.0
mix_0005_depth100,0.0,0.0,0.4317868096432341,0.0,0.0,0.1806129715193729,0.0,0.0,0.38760021883739293,0.0,0.0,0.0,0.0
mix_0005_depth25,0.0,0.0,0.4251368131571343,0.0,0.0,0.1847223036225136,0.0,0.0,0.39014088322035206,0.0,0.0,0.0,0.0
