gene,gene_symbol,highly_variable
SDPR,SDPR,True
AC064834.3,AC064834.3,False
SLC39A10,SLC39A10,False
DNAH7,DNAH7,False
STK17B,STK17B,True
RP11-347P5.1,RP11-347P5.1,True
HECW2,HECW2,True
AC020571.3,AC020571.3,False
CCDC150,CCDC150,False
GTF3C3,GTF3C3,False
PGAP1,PGAP1,False
ANKRD44,ANKRD44,True
AC013264.2,AC013264.2,False
SF3B1,SF3B1,False
COQ10B,COQ10B,False
HSPD1,HSPD1,False
HSPE1,HSPE1,False
MOB4,MOB4,False
RFTN2,RFTN2,True
AC011997.1,AC011997.1,False
MARS2,MARS2,False
PLCL1,PLCL1,False
SATB2,SATB2,False
FTCDNL1,FTCDNL1,False
C2orf69,C2orf69,False
TYW5,TYW5,True
C2orf47,C2orf47,False
SPATS2L,SPATS2L,False
KCTD18,KCTD18,False
SGOL2,SGOL2,False
AOX1,AOX1,False
AC007163.6,AC007163.6,False
BZW1,BZW1,False
CLK1,CLK1,False
PPIL3,PPIL3,False
NIF3L1,NIF3L1,False
ORC2,ORC2,False
AC005037.3,AC005037.3,True
FAM126B,FAM126B,False
NDUFB3,NDUFB3,False
CFLAR,CFLAR,False
CFLAR-AS1,CFLAR-AS1,False
CASP10,CASP10,False
CASP8,CASP8,False
ALS2CR12,ALS2CR12,False
TRAK2,TRAK2,True
STRADB,STRADB,False
TMEM237,TMEM237,False
ALS2,ALS2,False
RP11-107N15.1,RP11-107N15.1,False
FZD7,FZD7,True
KIAA2012,KIAA2012,False
SUMO1,SUMO1,False
NOP58,NOP58,False
RP11-686O6.2,RP11-686O6.2,False
BMPR2,BMPR2,False
FAM117B,FAM117B,False
ICA1L,ICA1L,True
WDR12,WDR12,True
CARF,CARF,False
NBEAL1,NBEAL1,False
CYP20A1,CYP20A1,False
ABI2,ABI2,False
RAPH1,RAPH1,False
CD28,CD28,False
CTLA4,CTLA4,True
ICOS,ICOS,True
PARD3B,PARD3B,False
NRP2,NRP2,False
INO80D,INO80D,True
AC007383.3,AC007383.3,False
NDUFS1,NDUFS1,False
EEF1B2,EEF1B2,False
GPR1,GPR1,False
ZDBF2,ZDBF2,False
ADAM23,ADAM23,False
MDH1B,MDH1B,False
FASTKD2,FASTKD2,False
AC008269.2,AC008269.2,False
KLF7,KLF7,False
AC007879.5,AC007879.5,False
CREB1,CREB1,False
METTL21A,METTL21A,False
AC079767.4,AC079767.4,True
CCNYL1,CCNYL1,False
RP11-801F7.1,RP11-801F7.1,False
FZD5,FZD5,False
AC096772.6,AC096772.6,False
PLEKHM3,PLEKHM3,False
IDH1,IDH1,False
IDH1-AS1,IDH1-AS1,True
PIKFYVE,PIKFYVE,False
PTH2R,PTH2R,False
MAP2,MAP2,False
RPE,RPE,True
KANSL1L,KANSL1L,False
RP11-260M2.1,RP11-260M2.1,False
AC007038.7,AC007038.7,False
AC006994.2,AC006994.2,False
ACADL,ACADL,False
LANCL1,LANCL1,True
CPS1,CPS1,False
ERBB4,ERBB4,False
IKZF2,IKZF2,False
RP11-105N14.1,RP11-105N14.1,False
AC079610.2,AC079610.2,False
SPAG16,SPAG16,False
AC107218.3,AC107218.3,False
BARD1,BARD1,True
AC072062.1,AC072062.1,False
ATIC,ATIC,False
FN1,FN1,True
LINC00607,LINC00607,False
AC093382.1,AC093382.1,False
MREG,MREG,False
PECR,PECR,False
TMEM169,TMEM169,False
XRCC5,XRCC5,False
PKI55,PKI55,True
SMARCAL1,SMARCAL1,False
RPL37A,RPL37A,False
IGFBP2,IGFBP2,False
IGFBP5,IGFBP5,True
AC007563.5,AC007563.5,False
DIRC3,DIRC3,False
TNS1,TNS1,True
AC010136.2,AC010136.2,False
RUFY4,RUFY4,False
CXCR2,CXCR2,False
CXCR1,CXCR1,False
ARPC2,ARPC2,False
GPBAR1,GPBAR1,False
AAMP,AAMP,False
PNKD,PNKD,False
TMBIM1,TMBIM1,False
SLC11A1,SLC11A1,False
CTDSP1,CTDSP1,False
VIL1,VIL1,False
USP37,USP37,False
RQCD1,RQCD1,True
PLCD4,PLCD4,False
RP11-548H3.1,RP11-548H3.1,False
ZNF142,ZNF142,False
BCS1L,BCS1L,False
RNF25,RNF25,False
STK36,STK36,False
TTLL4,TTLL4,False
CYP27A1,CYP27A1,False
WNT6,WNT6,False
WNT10A,WNT10A,False
CFAP65,CFAP65,False
IHH,IHH,False
RP11-33O4.1,RP11-33O4.1,False
NHEJ1,NHEJ1,False
SLC23A3,SLC23A3,False
CNPPD1,CNPPD1,False
FAM134A,FAM134A,False
ZFAND2B,ZFAND2B,False
ABCB6,ABCB6,False
ATG9A,ATG9A,False
ANKZF1,ANKZF1,False
GLB1L,GLB1L,False
STK16,STK16,True
TUBA4A,TUBA4A,True
DNAJB2,DNAJB2,False
DNPEP,DNPEP,False
AC053503.4,AC053503.4,False
DES,DES,True
SPEG,SPEG,False
GMPPA,GMPPA,False
CHPF,CHPF,False
TMEM198,TMEM198,False
OBSL1,OBSL1,False
STK11IP,STK11IP,False
SLC4A3,SLC4A3,False
EPHA4,EPHA4,False
CTD-2308L22.1,CTD-2308L22.1,False
PAX3,PAX3,False
SGPP2,SGPP2,False
RP11-16P6.1,RP11-16P6.1,False
FARSB,FARSB,False
MOGAT1,MOGAT1,False
ACSL3,ACSL3,False
KCNE4,KCNE4,False
SCG2,SCG2,True
AP1S3,AP1S3,False
WDFY1,WDFY1,False
MRPL44,MRPL44,False
SERPINE2,SERPINE2,True
FAM124B,FAM124B,False
CUL3,CUL3,True
DOCK10,DOCK10,False
IRS1,IRS1,False
RP11-395N3.2,RP11-395N3.2,False
RHBDD1,RHBDD1,True
COL4A4,COL4A4,True
COL4A3,COL4A3,False
AC097662.2,AC097662.2,False
MFF,MFF,False
AGFG1,AGFG1,True
SLC19A3,SLC19A3,False
CCL20,CCL20,True
PID1,PID1,False
TRIP12,TRIP12,False
FBXO36,FBXO36,True
SLC16A14,SLC16A14,False
AC009950.2,AC009950.2,False
SP110,SP110,False
SP140,SP140,True
SP140L,SP140L,False
SP100,SP100,False
CAB39,CAB39,True
ITM2C,ITM2C,False
GPR55,GPR55,False
C2orf72,C2orf72,True
PSMD1,PSMD1,False
HTR2B,HTR2B,False
ARMC9,ARMC9,False
B3GNT7,B3GNT7,True
NCL,NCL,False
LINC00471,LINC00471,False
NMUR1,NMUR1,False
PTMA,PTMA,False
PDE6D,PDE6D,False
COPS7B,COPS7B,False
NPPC,NPPC,False
DIS3L2,DIS3L2,False
ECEL1,ECEL1,False
TIGD1,TIGD1,False
EIF4E2,EIF4E2,False
AC073254.1,AC073254.1,False
EFHD1,EFHD1,False
GIGYF2,GIGYF2,False
C2orf82,C2orf82,True
NGEF,NGEF,False
INPP5D,INPP5D,True
ATG16L1,ATG16L1,False
SAG,SAG,False
RP11-400N9.1,RP11-400N9.1,False
DGKD,DGKD,False
USP40,USP40,False
HJURP,HJURP,False
AC097713.4,AC097713.4,False
ARL4C,ARL4C,True
SH3BP4,SH3BP4,True
AGAP1,AGAP1,False
IQCA1,IQCA1,False
ACKR3,ACKR3,True
AC105760.2,AC105760.2,False
COPS8,COPS8,False
COL6A3,COL6A3,True
AC112721.2,AC112721.2,False
MLPH,MLPH,False
RAB17,RAB17,False
AC104667.3,AC104667.3,False
LRRFIP1,LRRFIP1,False
RBM44,RBM44,False
RAMP1,RAMP1,False
UBE2F,UBE2F,False
UBE2F-SCLY,UBE2F-SCLY,False
SCLY,SCLY,False
ESPNL,ESPNL,False
FAM132B,FAM132B,False
ILKAP,ILKAP,False
HES6,HES6,False
PER2,PER2,False
TRAF3IP1,TRAF3IP1,False
ASB1,ASB1,True
TWIST2,TWIST2,False
HDAC4,HDAC4,True
AC062017.1,AC062017.1,False
NDUFA10,NDUFA10,False
MYEOV2,MYEOV2,False
GPC1,GPC1,False
ANKMY1,ANKMY1,False
DUSP28,DUSP28,False
RNPEPL1,RNPEPL1,False
CAPN10-AS1,CAPN10-AS1,False
CAPN10,CAPN10,False
GPR35,GPR35,False
KIF1A,KIF1A,False
C2orf54,C2orf54,False
SNED1,SNED1,False
MTERF4,MTERF4,False
PASK,PASK,True
PPP1R7,PPP1R7,False
ANO7,ANO7,False
HDLBP,HDLBP,False
SEPT2,SEPT2,False
FARP2,FARP2,False
STK25,STK25,False
BOK-AS1,BOK-AS1,False
BOK,BOK,False
THAP4,THAP4,False
ATG4B,ATG4B,False
DTYMK,DTYMK,False
AC133528.2,AC133528.2,False
ING5,ING5,False
D2HGDH,D2HGDH,False
GAL3ST2,GAL3ST2,False
PDCD1,PDCD1,True
AC093642.3,AC093642.3,False
RP11-341N2.1,RP11-341N2.1,False
CHL1,CHL1,False
LINC01266,LINC01266,False
CNTN6,CNTN6,False
CNTN4,CNTN4,False
IL5RA,IL5RA,False
TRNT1,TRNT1,False
CRBN,CRBN,False
RP11-97C16.1,RP11-97C16.1,False
SUMF1,SUMF1,False
LRRN1,LRRN1,False
SETMAR,SETMAR,False
ITPR1-AS1,ITPR1-AS1,False
ITPR1,ITPR1,False
EGOT,EGOT,False
AC018816.3,AC018816.3,False
BHLHE40-AS1,BHLHE40-AS1,False
BHLHE40,BHLHE40,False
ARL8B,ARL8B,False
AC026202.3,AC026202.3,False
RP11-572B2.1,RP11-572B2.1,False
EDEM1,EDEM1,False
LMCD1-AS1,LMCD1-AS1,False
LMCD1,LMCD1,False
SSUH2,SSUH2,True
OXTR,OXTR,False
RAD18,RAD18,False
SRGAP3,SRGAP3,False
RP11-380O24.1,RP11-380O24.1,False
THUMPD3-AS1,THUMPD3-AS1,False
THUMPD3,THUMPD3,False
SETD5,SETD5,False
MTMR14,MTMR14,False
CPNE9,CPNE9,False
BRPF1,BRPF1,False
OGG1,OGG1,False
CAMK1,CAMK1,False
TADA3,TADA3,False
ARPC4,ARPC4,False
ARPC4-TTLL3,ARPC4-TTLL3,False
TTLL3,TTLL3,False
RPUSD3,RPUSD3,False
JAGN1,JAGN1,False
IL17RE,IL17RE,False
IL17RC,IL17RC,False
CRELD1,CRELD1,False
PRRT3,PRRT3,False
PRRT3-AS1,PRRT3-AS1,False
RP11-1020A11.2,RP11-1020A11.2,False
EMC3,EMC3,False
AC022007.5,AC022007.5,True
FANCD2,FANCD2,True
FANCD2OS,FANCD2OS,False
BRK1,BRK1,False
VHL,VHL,False
IRAK2,IRAK2,False
TATDN2,TATDN2,False
LINC00852,LINC00852,False
GHRL,GHRL,False
GHRLOS,GHRLOS,False
SEC13,SEC13,False
SLC6A11,SLC6A11,False
HRH1,HRH1,False
ATG7,ATG7,False
VGLL4,VGLL4,False
TAMM41,TAMM41,False
SYN2,SYN2,False
TIMP4,TIMP4,False
PPARG,PPARG,False
TSEN2,TSEN2,False
MKRN2OS,MKRN2OS,False
MKRN2,MKRN2,False
RAF1,RAF1,False
CAND2,CAND2,False
RPL32,RPL32,False
IQSEC1,IQSEC1,False
NUP210,NUP210,True
HDAC11,HDAC11,False
FBLN2,FBLN2,False
CHCHD4,CHCHD4,False
TMEM43,TMEM43,False
AC093495.4,AC093495.4,False
XPC,XPC,True
LSM3,LSM3,False
LINC01267,LINC01267,False
SLC6A6,SLC6A6,False
GRIP2,GRIP2,False
CCDC174,CCDC174,False
FGD5,FGD5,False
FGD5-AS1,FGD5-AS1,False
NR2C2,NR2C2,False
MRPS25,MRPS25,True
RBSN,RBSN,False
CAPN7,CAPN7,False
SH3BP5-AS1,SH3BP5-AS1,False
SH3BP5,SH3BP5,False
METTL6,METTL6,False
EAF1,EAF1,False
EAF1-AS1,EAF1-AS1,False
COLQ,COLQ,False
HACL1,HACL1,False
BTD,BTD,False
ANKRD28,ANKRD28,True
GALNT15,GALNT15,False
DPH3,DPH3,True
OXNAD1,OXNAD1,True
RFTN1,RFTN1,True
RP11-415F23.2,RP11-415F23.2,False
RP11-415F23.3,RP11-415F23.3,False
RP11-415F23.4,RP11-415F23.4,False
PLCL2,PLCL2,True
TBC1D5,TBC1D5,True
SATB1,SATB1,True
KCNH8,KCNH8,False
EFHB,EFHB,False
RAB5A,RAB5A,False
KAT2B,KAT2B,False
SGOL1,SGOL1,True
ZNF385D,ZNF385D,False
UBE2E2,UBE2E2,False
UBE2E1-AS1,UBE2E1-AS1,False
UBE2E1,UBE2E1,False
NKIRAS1,NKIRAS1,False
RPL15,RPL15,False
NR1D2,NR1D2,False
THRB,THRB,False
RP11-317L10.1,RP11-317L10.1,False
RARB,RARB,False
TOP2B,TOP2B,True
NGLY1,NGLY1,False
OXSM,OXSM,False
LRRC3B,LRRC3B,False
NEK10,NEK10,True
SLC4A7,SLC4A7,False
RP11-222K16.2,RP11-222K16.2,True
EOMES,EOMES,True
CMC1,CMC1,True
AZI2,AZI2,False
ZCWPW2,ZCWPW2,False
LINC00693,LINC00693,False
RBMS3-AS3,RBMS3-AS3,False
RBMS3,RBMS3,False
AC116035.1,AC116035.1,False
TGFBR2,TGFBR2,True
STT3B,STT3B,False
OSBPL10,OSBPL10,False
ZNF860,ZNF860,False
GPD1L,GPD1L,True
CMTM8,CMTM8,False
CMTM7,CMTM7,False
CMTM6,CMTM6,False
DYNC1LI1,DYNC1LI1,False
CNOT10,CNOT10,False
CCR4,CCR4,True
GLB1,GLB1,False
TMPPE,TMPPE,False
CRTAP,CRTAP,False
SUSD5,SUSD5,False
FBXL2,FBXL2,False
UBP1,UBP1,False
CLASP2,CLASP2,True
RP11-10C24.3,RP11-10C24.3,False
PDCD6IP,PDCD6IP,False
STAC,STAC,False
TRANK1,TRANK1,False
EPM2AIP1,EPM2AIP1,False
MLH1,MLH1,False
LRRFIP2,LRRFIP2,False
RP11-259K5.2,RP11-259K5.2,False
GOLGA4,GOLGA4,False
C3orf35,C3orf35,False
ITGA9,ITGA9,False
CTDSPL,CTDSPL,False
VILL,VILL,False
PLCD1,PLCD1,True
ACAA1,ACAA1,False
MYD88,MYD88,False
OXSR1,OXSR1,True
SLC22A14,SLC22A14,False
XYLB,XYLB,False
ACVR2B-AS1,ACVR2B-AS1,False
ACVR2B,ACVR2B,False
EXOG,EXOG,False
SCN5A,SCN5A,False
SCN11A,SCN11A,False
WDR48,WDR48,False
GORASP1,GORASP1,False
TTC21A,TTC21A,False
CSRNP1,CSRNP1,False
CX3CR1,CX3CR1,False
SLC25A38,SLC25A38,True
RPSA,RPSA,False
MOBP,MOBP,False
MYRIP,MYRIP,False
EIF1B,EIF1B,False
ENTPD3-AS1,ENTPD3-AS1,False
ENTPD3,ENTPD3,False
RPL14,RPL14,False
ZNF619,ZNF619,False
ZNF620,ZNF620,False
ZNF621,ZNF621,True
CTNNB1,CTNNB1,False
ULK4,ULK4,False
TRAK1,TRAK1,False
CCK,CCK,True
VIPR1,VIPR1,False
SEC22C,SEC22C,False
SS18L2,SS18L2,False
NKTR,NKTR,False
RP4-613B23.1,RP4-613B23.1,False
ZBTB47,ZBTB47,False
CCDC13,CCDC13,False
RP11-70C1.1,RP11-70C1.1,False
HIGD1A,HIGD1A,False
ACKR2,ACKR2,False
KRBOX1,KRBOX1,False
ZNF662,ZNF662,False
FAM198A,FAM198A,False
POMGNT2,POMGNT2,False
SNRK,SNRK,False
RP11-188P20.3,RP11-188P20.3,False
ANO10,ANO10,False
ABHD5,ABHD5,False
RP4-555D20.2,RP4-555D20.2,False
RP11-424N24.2,RP11-424N24.2,True
TCAIM,TCAIM,True
LINC00694,LINC00694,False
ZNF445,ZNF445,False
ZNF852,ZNF852,False
ZKSCAN7,ZKSCAN7,False
ZNF660,ZNF660,False
ZNF197,ZNF197,False
ZNF35,ZNF35,False
RP11-348P10.2,RP11-348P10.2,False
ZNF502,ZNF502,False
ZNF501,ZNF501,False
KIAA1143,KIAA1143,False
KIF15,KIF15,False
TMEM42,TMEM42,False
ZDHHC3,ZDHHC3,False
EXOSC7,EXOSC7,False
CLEC3B,CLEC3B,False
CDCP1,CDCP1,True
TMEM158,TMEM158,False
LARS2,LARS2,False
LIMD1,LIMD1,False
LIMD1-AS1,LIMD1-AS1,False
SACM1L,SACM1L,False
SLC6A20,SLC6A20,False
LZTFL1,LZTFL1,True
FYCO1,FYCO1,False
CXCR6,CXCR6,True
XCR1,XCR1,False
CCR1,CCR1,False
CCR2,CCR2,False
RP11-24F11.2,RP11-24F11.2,False
CCR5,CCR5,False
CCRL2,CCRL2,False
LTF,LTF,True
LRRC2,LRRC2,False
TDGF1,TDGF1,False
ALS2CL,ALS2CL,False
TMIE,TMIE,False
PRSS50,PRSS50,False
PRSS45,PRSS45,False
MYL3,MYL3,False
PTH1R,PTH1R,False
CCDC12,CCDC12,False
NBEAL2,NBEAL2,True
SETD2,SETD2,False
KIF9-AS1,KIF9-AS1,False
KIF9,KIF9,False
KLHL18,KLHL18,False
RP11-708J19.1,RP11-708J19.1,False
PTPN23,PTPN23,False
SCAP,SCAP,False
ELP6,ELP6,False
CSPG5,CSPG5,False
SMARCC1,SMARCC1,False
DHX30,DHX30,False
MAP4,MAP4,False
CDC25A,CDC25A,False
CAMP,CAMP,False
ZNF589,ZNF589,False
NME6,NME6,False
SPINK8,SPINK8,False
PLXNB1,PLXNB1,False
CCDC51,CCDC51,False
TMA7,TMA7,False
RP11-24C3.2,RP11-24C3.2,False
ATRIP.1,ATRIP.1,False
SHISA5,SHISA5,False
PFKFB4,PFKFB4,False
COL7A1,COL7A1,False
UQCRC1,UQCRC1,False
SLC26A6,SLC26A6,True
CELSR3,CELSR3,False
NCKIPSD,NCKIPSD,True
IP6K2,IP6K2,False
PRKAR2A,PRKAR2A,False
PRKAR2A-AS1,PRKAR2A-AS1,True
SLC25A20,SLC25A20,False
ARIH2OS,ARIH2OS,False
ARIH2,ARIH2,False
RP13-131K19.2,RP13-131K19.2,False
P4HTM,P4HTM,False
WDR6,WDR6,False
DALRD3,DALRD3,False
NDUFAF3,NDUFAF3,False
IMPDH2,IMPDH2,False
RP13-131K19.6,RP13-131K19.6,False
QRICH1,QRICH1,False
QARS,QARS,False
USP19,USP19,False
LAMB2,LAMB2,False
CCDC71,CCDC71,False
KLHDC8B,KLHDC8B,True
CCDC36,CCDC36,False
C3orf62,C3orf62,False
USP4,USP4,False
GPX1,GPX1,True
RHOA,RHOA,False
TCTA,TCTA,False
AMT,AMT,True
NICN1,NICN1,False
DAG1,DAG1,False
BSN,BSN,False
APEH,APEH,False
MST1,MST1,False
RNF123,RNF123,False
GMPPB,GMPPB,False
IP6K1,IP6K1,True
CDHR4,CDHR4,False
FAM212A,FAM212A,False
UBA7,UBA7,False
TRAIP,TRAIP,False
MST1R,MST1R,False
MON1A,MON1A,False
RBM6,RBM6,False
RBM5,RBM5,False
SEMA3F-AS1,SEMA3F-AS1,False
SEMA3F,SEMA3F,True
SLC38A3,SLC38A3,False
GNAI2,GNAI2,False
U73166.2,U73166.2,False
SEMA3B,SEMA3B,False
LSMEM2,LSMEM2,False
IFRD2,IFRD2,False
HYAL3,HYAL3,False
NAT6,NAT6,True
HYAL1,HYAL1,False
HYAL2,HYAL2,True
TUSC2,TUSC2,False
RASSF1,RASSF1,False
RASSF1-AS1,RASSF1-AS1,False
ZMYND10,ZMYND10,False
NPRL2,NPRL2,False
CYB561D2,CYB561D2,False
TMEM115,TMEM115,False
CACNA2D2,CACNA2D2,False
CYB561D2.1,CYB561D2.1,False
C3orf18,C3orf18,False
HEMK1,HEMK1,False
CISH,CISH,False
MAPKAPK3,MAPKAPK3,False
RP11-804H8.6,RP11-804H8.6,False
DOCK3,DOCK3,False
MANF,MANF,False
RBM15B,RBM15B,False
VPRBP,VPRBP,True
RAD54L2,RAD54L2,False
TEX264,TEX264,False
RRP9,RRP9,False
PARP3,PARP3,False
GPR62,GPR62,False
PCBP4,PCBP4,False
ABHD14B,ABHD14B,False
ABHD14A,ABHD14A,True
ACY1,ACY1,False
RPL29,RPL29,False
DUSP7,DUSP7,True
POC1A,POC1A,False
ALAS1,ALAS1,False
TWF2,TWF2,False
RP5-1157M23.2,RP5-1157M23.2,False
PPM1M,PPM1M,False
WDR82,WDR82,False
GLYCTK,GLYCTK,False
DNAH1,DNAH1,False
BAP1,BAP1,True
PHF7,PHF7,False
SEMA3G,SEMA3G,True
TNNC1,TNNC1,False
NISCH,NISCH,False
STAB1,STAB1,False
NT5DC2,NT5DC2,True
SMIM4,SMIM4,True
PBRM1,PBRM1,True
GNL3,GNL3,False
GLT8D1,GLT8D1,False
SPCS1,SPCS1,False
NEK4,NEK4,True
ITIH3,ITIH3,False
ITIH4,ITIH4,False
RP5-966M1.6,RP5-966M1.6,False
TMEM110,TMEM110,False
SFMBT1,SFMBT1,False
RP11-894J14.5,RP11-894J14.5,False
RFT1,RFT1,True
PRKCD,PRKCD,False
TKT,TKT,False
DCP1A,DCP1A,False
CACNA1D,CACNA1D,False
CHDH,CHDH,False
IL17RB,IL17RB,False
ACTR8,ACTR8,False
SELK,SELK,False
CACNA2D3,CACNA2D3,False
WNT5A,WNT5A,False
ERC2,ERC2,False
CCDC66,CCDC66,False
FAM208A,FAM208A,False
ARHGEF3,ARHGEF3,False
RP11-157F20.3,RP11-157F20.3,False
IL17RD,IL17RD,False
HESX1,HESX1,False
APPL1,APPL1,False
DNAH12,DNAH12,False
PDE12,PDE12,False
ARF4,ARF4,False
ARF4-AS1,ARF4-AS1,False
DENND6A,DENND6A,True
DENND6A-AS1,DENND6A-AS1,False
RP11-755B10.3,RP11-755B10.3,False
SLMAP,SLMAP,False
FLNB,FLNB,False
DNASE1L3,DNASE1L3,True
ABHD6,ABHD6,True
RPP14,RPP14,False
PXK,PXK,False
PDHB,PDHB,False
RP11-802O23.3,RP11-802O23.3,False
KCTD6,KCTD6,False
ACOX2,ACOX2,False
FAM107A,FAM107A,True
FAM3D,FAM3D,True
C3orf67,C3orf67,False
FHIT,FHIT,False
PTPRG,PTPRG,True
C3orf14,C3orf14,False
CADPS,CADPS,False
THOC7,THOC7,False
ATXN7,ATXN7,False
PSMD6-AS2,PSMD6-AS2,False
PSMD6,PSMD6,False
RP11-245J9.4,RP11-245J9.4,False
RP11-245J9.6,RP11-245J9.6,False
PRICKLE2-AS1,PRICKLE2-AS1,False
PRICKLE2,PRICKLE2,False
ADAMTS9,ADAMTS9,True
ADAMTS9-AS1,ADAMTS9-AS1,True
ADAMTS9-AS2,ADAMTS9-AS2,False
MAGI1,MAGI1,False
SLC25A26,SLC25A26,False
LRIG1,LRIG1,False
KBTBD8,KBTBD8,False
SUCLG2,SUCLG2,False
SUCLG2-AS1,SUCLG2-AS1,False
FAM19A1,FAM19A1,True
EOGT,EOGT,False
CTD-2013N24.2,CTD-2013N24.2,False
TMF1,TMF1,False
UBA3,UBA3,False
ARL6IP5,ARL6IP5,False
LMOD3,LMOD3,True
FRMD4B,FRMD4B,True
MITF,MITF,True
LINC01212,LINC01212,False
FOXP1,FOXP1,False
RP11-154H23.4,RP11-154H23.4,False
RP11-154H23.3,RP11-154H23.3,False
EIF4E3,EIF4E3,True
GPR27,GPR27,False
PROK2,PROK2,False
LINC00877,LINC00877,True
RYBP,RYBP,False
SHQ1,SHQ1,False
GXYLT2,GXYLT2,False
PPP4R2,PPP4R2,False
EBLN2,EBLN2,False
PDZRN3,PDZRN3,False
RP11-803B1.8,RP11-803B1.8,False
LINC00960,LINC00960,False
ZNF717,ZNF717,False
ROBO2,ROBO2,False
ROBO1,ROBO1,False
GBE1,GBE1,False
CADM2,CADM2,True
VGLL3,VGLL3,True
CHMP2B,CHMP2B,False
CGGBP1,CGGBP1,False
RP11-159G9.5,RP11-159G9.5,False
ZNF654,ZNF654,True
C3orf38,C3orf38,True
PROS1,PROS1,False
ARL13B,ARL13B,False
STX19,STX19,False
DHFRL1,DHFRL1,False
NSUN3,NSUN3,False
MTRNR2L12,MTRNR2L12,True
ARL6,ARL6,False
CRYBG3,CRYBG3,False
MINA,MINA,False
CLDND1,CLDND1,False
CPOX,CPOX,False
ST3GAL6-AS1,ST3GAL6-AS1,False
ST3GAL6,ST3GAL6,False
DCBLD2,DCBLD2,False
COL8A1,COL8A1,True
CMSS1,CMSS1,True
FILIP1L,FILIP1L,True
TBC1D23,TBC1D23,False
NIT2,NIT2,False
TOMM70A,TOMM70A,False
LNP1,LNP1,False
TMEM45A,TMEM45A,False
TFG,TFG,False
ABI3BP,ABI3BP,False
IMPG2,IMPG2,False
SENP7,SENP7,False
TRMT10C,TRMT10C,True
PCNP,PCNP,False
ZBTB11,ZBTB11,False
ZBTB11-AS1,ZBTB11-AS1,False
RPL24,RPL24,False
CEP97,CEP97,True
NXPE3,NXPE3,False
NFKBIZ,NFKBIZ,False
ALCAM,ALCAM,False
CBLB,CBLB,True
LINC00882,LINC00882,False
DUBR,DUBR,False
RP11-115H18.1,RP11-115H18.1,False
BBX,BBX,False
CD47,CD47,False
LINC01215,LINC01215,False
IFT57,IFT57,False
MYH15,MYH15,False
KIAA1524,KIAA1524,False
DZIP3,DZIP3,False
TRAT1,TRAT1,True
MORC1,MORC1,False
DPPA4,DPPA4,False
PVRL3-AS1,PVRL3-AS1,False
PVRL3,PVRL3,False
CD96,CD96,True
ZBED2,ZBED2,True
PLCXD2,PLCXD2,False
PHLDB2,PHLDB2,False
ABHD10,ABHD10,False
C3orf52,C3orf52,False
GCSAM,GCSAM,True
RP11-757F18.5,RP11-757F18.5,False
SLC9C1,SLC9C1,False
RP11-90K6.1,RP11-90K6.1,False
CD200,CD200,True
BTLA,BTLA,True
ATG3,ATG3,False
SLC35A5,SLC35A5,False
CCDC80,CCDC80,True
CD200R1,CD200R1,False
RP11-484K9.4,RP11-484K9.4,True
GTPBP8,GTPBP8,True
C3orf17,C3orf17,False
RP11-572M11.4,RP11-572M11.4,False
BOC,BOC,False
CFAP44,CFAP44,False
SPICE1,SPICE1,False
SIDT1,SIDT1,True
SIDT1-AS1,SIDT1-AS1,False
USF3,USF3,False
NAA50,NAA50,False
ATP6V1A,ATP6V1A,False
GRAMD1C,GRAMD1C,False
RP11-255E6.6,RP11-255E6.6,False
ZDHHC23,ZDHHC23,True
CCDC191,CCDC191,False
QTRTD1,QTRTD1,False
RP11-553L6.2,RP11-553L6.2,True
TIGIT,TIGIT,True
RP11-553L6.5,RP11-553L6.5,True
ZBTB20,ZBTB20,False
ZBTB20-AS4,ZBTB20-AS4,False
LSAMP,LSAMP,False
RP11-384F7.2,RP11-384F7.2,False
UPK1B,UPK1B,False
B4GALT4,B4GALT4,True
ARHGAP31,ARHGAP31,False
ARHGAP31-AS1,ARHGAP31-AS1,False
TMEM39A,TMEM39A,False
POGLUT1,POGLUT1,False
TIMMDC1,TIMMDC1,False
CD80,CD80,False
RP11-190C22.9,RP11-190C22.9,False
ADPRH,ADPRH,False
PLA1A,PLA1A,True
POPDC2,POPDC2,False
COX17,COX17,False
MAATS1,MAATS1,True
GSK3B,GSK3B,False
RP11-18H7.1,RP11-18H7.1,False
LRRC58,LRRC58,False
FSTL1,FSTL1,True
NDUFB4,NDUFB4,False
HGD,HGD,False
RABL3,RABL3,False
GTF2E1,GTF2E1,False
STXBP5L,STXBP5L,False
POLQ,POLQ,False
HCLS1,HCLS1,True
GOLGB1,GOLGB1,False
IQCB1,IQCB1,False
EAF2,EAF2,False
SLC15A2,SLC15A2,False
ILDR1,ILDR1,False
CD86,CD86,True
CSTA,CSTA,True
CCDC58,CCDC58,False
FAM162A,FAM162A,False
WDR5B,WDR5B,False
RP11-299J3.8,RP11-299J3.8,False
KPNA1,KPNA1,False
PARP9,PARP9,False
DTX3L,DTX3L,False
PARP15,PARP15,True
PARP14,PARP14,False
HSPBAP1,HSPBAP1,False
DIRC2,DIRC2,False
RP11-67L2.2,RP11-67L2.2,False
PDIA5,PDIA5,True
SEC22A,SEC22A,False
ADCY5,ADCY5,True
RP11-797D24.4,RP11-797D24.4,False
HACD2,HACD2,False
MYLK-AS1,MYLK-AS1,False
